	city	clouds	country	humidity	lat	temp	wind
68	Ponta do Sol	88	BR	54	-20.63	71.888	0.62
69	Tasiilaq	64	GL	81	65.61	42.8	0.5
70	Mabaruma	64	GY	82	8.2	81.60799999999999	3.17
71	Minsk	0	BY	82	53.9	60.8	2.37
72	Severo-Kurilsk	8	RU	97	50.68	44.168	2.32
73	Yellowknife	90	CA	93	62.45	53.6	5.7
74	Mehnagar	88	IN	92	25.88	80.348	4.17
75	Airai	56	TL	94	-8.93	63.698	0.62
76	Anito	80	PH	100	12.45	82.328	2.32
77	Ayios Athanasios	90	GR	93	41.07	66.2	2.6
78	Bilma	0	NE	27	18.69	80.978	1.32
79	Sioux Lookout	40	CA	47	50.1	80.6	6.2
80	Bireun	36	ID	100	5.2	82.508	1.67
81	Itarema	20	BR	61	-2.92	82.508	4.92
82	Margate	0	AU	93	-43.03	39.2	3.6
83	Vershino-Darasunskiy	0	RU	87	52.35	53.528	2.52
84	Cidreira	0	BR	88	-30.17	54.698	2.37
85	Faya	0	SA	46	18.39	75.2	2.1
86	Ampanihy	0	MG	78	-24.69	65.498	5.27
87	Dubbo	0	AU	81	-32.25	46.4	5.7
88	Bredasdorp	32	ZA	76	-34.53	48.2	2.1
89	Kidal	32	ML	43	18.44	84.848	1.32
90	Port Elizabeth	1	US	44	39.31	78.8	2.6
91	Honiara	75	SB	100	-9.43	71.6	1.0
92	Sao Joao da Barra	0	BR	65	-21.64	78.8	5.1
93	Meulaboh	36	ID	100	4.14	79.988	0.02
94	New Norfolk	0	AU	93	-42.78	39.2	3.6
95	Aklavik	75	CA	51	68.22	59.0	2.1
96	Ossora	44	RU	100	59.24	45.608	1.22
97	Pisco	0	PE	82	-13.71	64.4	5.1
98	Saint-Augustin	0	FR	37	44.83	82.4	1.5
99	Arraial do Cabo	0	BR	74	-22.97	86.0	2.1
100	Diamantino	0	BR	58	-14.4	82.77799999999999	1.07
101	Berdigestyakh	0	RU	81	62.1	58.748000000000005	1.77
102	Bethel	90	US	71	60.79	55.4	6.7
103	Owando	12	CG	85	-0.49	75.038	0.77
104	Mitu	0	IR	68	36.2	52.448	0.87
105	Talara	0	PE	78	-4.58	75.2	9.8
106	Nikolskoye	0	RU	63	59.7	60.8	2.0
107	Krasnyy Yar	24	RU	30	50.7	80.348	4.12
108	Bodden Town	20	KY	89	19.28	89.6	4.6
109	Longkou	0	CN	95	37.64	71.798	5.47
110	Hualmay	24	PE	73	-11.1	66.128	2.87
111	Denizli	0	TR	68	37.77	64.4	1.5
112	Geraldton	75	CA	50	49.72	77.0	2.1
113	Nakonde	0	ZM	72	-9.33	59.55799999999999	3.87
114	Provideniya	0	RU	66	64.42	50.0	7.0
115	Moussoro	0	TD	74	13.64	79.178	1.22
116	Namatanai	64	PG	100	-3.66	81.428	2.87
117	Lensk	32	RU	87	60.71	62.348	3.22
118	Narsaq	75	GL	50	60.91	53.6	4.6
119	Kiama	75	AU	100	-34.67	50.0	2.6
120	Norman Wells	90	CA	87	65.28	57.2	4.6
121	Luderitz	0	NA	90	-26.65	53.61800000000001	5.77
122	Ngaoundere	8	CM	91	7.32	64.328	1.07
123	Qasigiannguit	40	GL	49	68.82	46.4	3.1
124	Porto Novo	0	BR	34	-23.68	80.6	1.0
125	Kabelvag	75	NO	61	68.21	50.0	8.2
126	Quatre Cocos	75	MU	60	-20.21	71.6	5.1
127	Sitka	0	US	47	37.17	96.18799999999999	7.27
128	Ugoofaaru	80	MV	100	5.67	81.248	7.47
129	Buriti Bravo	68	BR	38	-5.84	85.838	1.47
130	Pangkalanbuun	80	ID	96	-2.68	72.248	1.17
131	Naryan-Mar	0	RU	75	67.67	51.818000000000005	0.62
132	Biloxi	1	US	52	30.4	93.2	4.6
133	Kodiak	1	US	58	39.95	84.2	4.1
134	Abu Samrah	0	SY	46	35.3	70.988	3.37
135	Fallon	40	US	47	46.84	78.8	5.7
136	Albany	75	US	29	42.65	78.8	2.1
137	Mar del Plata	0	AR	69	-46.43	41.648	3.57
138	Yar-Sale	24	RU	81	66.83	49.568	6.57
139	Qaanaaq	8	GL	98	77.48	32.288	1.17
140	Cabo San Lucas	5	MX	54	22.89	89.6	5.1
141	Barrow	24	AR	41	-38.31	55.148	3.77
142	Mackay	75	CA	27	53.65	62.6	6.7
143	Sakaiminato	75	JP	58	35.55	82.4	6.7
144	Abu Kamal	0	SY	27	34.45	80.61800000000001	4.67
145	Isangel	0	VU	100	-19.55	73.418	9.77
146	Belgaum	100	IN	99	15.87	68.10799999999999	2.77
147	Cherskiy	92	RU	79	68.75	34.628	2.72
148	Emmett	1	US	29	43.87	78.8	4.1
149	Ancud	92	CL	95	-41.87	50.288	5.67
150	Kahului	40	US	65	20.89	82.4	8.7
151	Placido de Castro	0	BR	31	-10.34	93.66799999999999	1.32
152	Lavrentiya	32	RU	81	65.58	44.708	6.47
153	Mehamn	75	NO	71	71.03	50.0	8.7
154	Oriximina	12	BR	48	-1.77	89.438	2.57
155	Kaitangata	68	NZ	92	-46.28	45.788	8.07
156	Nobres	0	BR	41	-14.72	85.388	0.32
157	Saint-Philippe	1	CA	38	45.36	75.2	1.5
158	Faanui	48	PF	100	-16.48	80.888	5.97
159	Vestmanna	88	FO	100	62.16	48.2	3.6
160	Boa Vista	75	BR	62	2.82	86.0	3.1
161	Bima	20	ID	88	-8.45	75.848	2.97
162	Houma	88	CN	95	35.63	67.02799999999999	0.87
163	Moree	68	AU	87	-29.46	48.218	4.22
164	Fort Saint James	92	CA	56	54.43	52.538	5.12
165	Tabas	0	IR	23	33.6	64.958	1.02
166	Mago	76	RU	76	53.27	54.068000000000005	1.32
167	Esperance	20	TT	58	10.24	87.8	8.2
168	Kormilovka	0	RU	93	55.0	62.6	3.0
169	Chandler	1	US	8	33.31	105.8	2.6
170	Angra dos Reis	0	BR	31	-23.01	89.6	1.5
171	Suntar	92	RU	100	62.16	61.178	1.32
172	Victoria	75	BN	100	5.28	75.2	4.27
173	Butaritari	56	KI	100	3.07	83.498	4.62
174	Jiuquan	8	CN	80	39.73	56.76800000000001	0.97
175	Morro Bay	1	US	56	35.37	89.6	3.1
176	Vanimo	88	PG	100	-2.67	79.178	6.22
177	Urucara	24	BR	56	-2.54	87.36800000000001	1.47
178	Gikongoro	8	RW	88	-2.46	56.948	1.22
179	San Jose	32	PH	97	15.79	71.978	0.77
180	Hithadhoo	20	MV	100	-0.6	82.86800000000001	3.97
181	Port-Gentil	20	GA	88	-0.72	77.0	4.1
182	Coquimbo	0	CL	87	-29.95	53.6	4.6
183	Chumikan	92	RU	93	54.72	46.688	1.12
184	Tuktoyaktuk	90	CA	81	69.44	44.6	4.6
185	Camacha	20	PT	73	33.08	71.6	3.1
186	Vardo	40	US	44	39.62	87.8	5.1
187	Develi	0	TR	64	38.39	68.0	0.5
188	Santa Cruz	20	US	68	36.97	82.4	4.1
189	Worland	1	US	29	44.02	89.6	3.1
190	Port Lincoln	32	AU	100	-34.72	43.538	1.62
191	Iqaluit	90	CA	89	63.75	39.2	7.7
192	Sohag	0	EG	35	26.55	75.30799999999999	2.52
193	Mount Isa	0	AU	54	-20.73	57.2	4.6
194	Longyearbyen	75	NO	75	78.22	44.6	3.6
195	Coihaique	90	CL	52	-45.58	42.8	1.12
196	Georgetown	20	GY	62	6.8	87.8	5.1
197	Yumen	0	CN	62	40.29	63.338	1.82
198	Jackson	40	US	63	35.61	93.2	5.1
199	Empalme	20	MX	63	27.96	91.4	7.7
200	Muyezerskiy	76	RU	50	63.93	62.888	2.57
201	Gat	0	SN	76	14.69	79.538	4.32
202	Kavieng	64	PG	100	-2.57	82.688	4.17
203	Carnarvon	0	ZA	65	-30.97	43.808	4.02
204	Tiksi	8	RU	71	71.64	42.098	5.57
205	Timmins	90	CA	21	48.48	78.8	3.1
206	Necochea	64	AR	61	-38.55	52.538	4.07
207	Saint George	75	GR	93	39.45	64.4	4.6
208	Souillac	0	FR	44	45.6	78.8	2.6
209	Natal	20	BR	69	-5.81	80.6	6.7
210	Venado Tuerto	0	AR	41	-33.75	56.498000000000005	2.52
211	Bilgoraj	0	PL	87	50.54	55.4	1.0
212	Khani	75	GE	94	41.96	73.4	1.5
213	Fatehpur	0	PK	53	31.18	84.848	2.37
214	Lodwar	20	KE	81	3.12	70.088	0.52
215	Fortuna	0	ES	78	38.18	75.2	3.1
216	Xiaoweizhai	80	CN	95	26.23	68.018	3.42
217	Bouar	24	CF	92	5.94	68.648	1.22
218	Louis Trichardt	8	ZA	71	-23.04	50.288	2.07
219	Solano	76	PH	95	16.52	68.468	0.97
220	Havoysund	20	NO	70	71.0	48.2	12.9
221	Koumac	8	NC	83	-20.56	69.008	5.52
222	Dicabisagan	64	PH	100	17.08	76.298	1.02
223	Luohe	80	CN	90	33.57	77.288	1.57
224	Turukhansk	0	RU	77	65.8	59.288	1.42
225	Marrakesh	0	MA	35	31.63	84.2	5.1
226	Palmer	75	US	51	61.6	60.8	5.7
227	Grindavik	75	IS	93	63.84	48.2	5.7
228	Sur	92	OM	74	22.57	90.96799999999999	2.67
229	Lagoa	0	PT	53	37.14	75.2	7.2
230	Suileng	92	CN	100	47.25	62.348	1.07
231	Tres Passos	80	BR	91	-27.46	60.007999999999996	1.02
232	Saint-Georges	0	CA	51	46.12	66.938	2.47
233	Cooma	32	AU	86	-36.24	34.088	1.97
234	Saint Andrews	0	NZ	100	-44.53	32.827999999999996	1.52
235	Agaro	64	ET	100	7.86	52.088	1.07
236	Volzhsk	40	RU	83	55.86	69.8	4.0
237	Tabou	32	CI	100	4.42	79.088	5.67
238	Vaitape	32	PF	99	-16.52	80.798	5.97
239	Khandyga	48	RU	96	62.65	61.448	1.52
240	Orlik	0	RU	88	52.51	36.788	0.82
241	Port Hardy	90	CA	87	50.7	55.4	1.5
242	Teahupoo	40	PF	65	-17.83	82.4	6.2
243	Te Anau	20	NZ	94	-45.41	32.648	1.07
244	Bathsheba	40	BB	62	13.22	86.0	9.3
245	Mahajanga	40	MG	61	-15.72	78.8	2.1
246	Kenai	20	US	66	60.55	57.2	4.1
247	Ciudad Bolivar	36	VE	71	8.12	83.588	4.57
248	Buala	76	SB	100	-8.15	78.728	2.87
249	Muros	90	ES	100	42.77	59.0	2.1
250	Maiduguri	8	NG	82	11.84	78.998	1.27
251	State College	5	US	53	40.79	78.8	4.6
252	Kalundborg	0	DK	87	55.68	60.8	3.1
253	Vidim	20	CZ	67	50.47	60.8	1.0
254	Mandalgovi	0	MN	77	45.76	52.718	3.47
255	Zvishavane	0	ZW	63	-20.32	46.508	2.52
256	Codrington	92	AU	98	-28.95	49.118	1.62
257	Kailua	40	US	69	21.39	84.2	4.6
258	Huarmey	0	PE	58	-10.07	69.90799999999999	1.97
259	Verdun	0	FR	60	49.16	68.0	3.6
260	Camocim	56	BR	62	-2.9	82.508	4.37
261	Hasaki	75	JP	83	35.73	75.2	5.1
262	Makubetsu	92	JP	100	42.84	54.338	1.77
263	Solaro	0	IT	64	44.35	73.4	1.5
264	Kaeo	0	NZ	84	-35.1	45.788	2.42
265	Puerto Escondido	75	MX	70	15.86	86.0	5.1
266	Haapiti	40	PF	65	-17.57	82.4	6.2
267	Poum	90	MK	67	41.28	60.8	4.1
268	Cururupu	8	BR	68	-1.82	81.428	3.57
269	Monterey	1	US	63	36.6	75.2	3.6
270	Linkuva	0	LT	82	56.09	57.2	1.5
271	Kangaatsiaq	36	GL	86	68.31	40.838	5.22
272	Beringovskiy	12	RU	100	63.05	44.708	2.52
273	Fare	68	PF	98	-16.7	80.798	6.22
274	Galesong	40	ID	94	-5.32	75.2	1.5
275	Sabha	0	LY	19	27.03	82.148	2.22
276	Cumberland	1	US	31	41.97	80.6	3.1
277	Biak	80	ID	100	-0.91	74.31800000000001	1.17
278	Shetpe	0	KZ	25	44.14	79.538	2.72
279	Westport	0	IE	41	53.8	77.0	2.1
280	Eyl	0	SO	73	7.98	80.708	9.47
281	Baruun-Urt	44	MN	91	46.68	54.878	5.67
282	San Juan	40	PR	74	18.47	84.2	8.2
283	Petropavlovsk-Kamchatskiy	32	RU	87	53.05	51.8	3.0
284	Talnakh	92	RU	89	69.49	51.008	1.72
285	Constitucion	75	MX	49	23.99	73.4	4.1
286	Castrovillari	90	IT	93	39.82	44.6	11.8
287	Miri	8	NG	87	10.31	73.148	1.37
288	Saskylakh	8	RU	67	71.97	51.908	4.67
289	Ouesso	8	CG	96	1.61	73.86800000000001	0.97
290	Santa Fe	0	AR	51	-31.62	56.318000000000005	3.12
291	Portland	20	US	42	45.52	71.6	4.6
292	Yongan	36	CN	82	39.7	53.61800000000001	0.87
293	Luanda	0	AO	94	-8.83	71.708	3.47
294	Haines Junction	0	CA	39	60.75	53.977999999999994	1.22
295	Yuanping	44	CN	86	38.72	54.428	0.97
296	Paamiut	0	GL	98	61.99	39.757999999999996	4.57
297	Umm Lajj	68	SA	81	25.02	83.588	2.97
298	Sechura	0	PE	75	-5.56	73.86800000000001	6.27
299	Dillon	1	US	28	45.22	73.4	5.1
300	Akdepe	0	TM	41	42.05	75.2	1.0
301	San Rafael	0	AR	26	-34.61	60.548	1.27
302	Castro	92	CL	98	-42.48	46.238	4.22
303	Comodoro Rivadavia	0	AR	42	-45.87	48.2	5.7
304	Ahipara	36	NZ	93	-35.17	54.248000000000005	4.77
305	Sinegorye	36	RU	37	62.09	62.70799999999999	1.12
306	Coueron	0	FR	50	47.22	78.8	3.1
307	Vila Franca do Campo	20	PT	83	37.72	73.4	2.6
308	Atbasar	88	KZ	87	51.81	61.898	4.82
309	Ambalavao	8	MG	83	-21.83	53.888	3.92
310	Sainte-Rose	75	CA	35	45.61	73.4	6.2
311	Rantoul	75	US	74	40.31	80.6	4.1
312	Deputatskiy	0	RU	57	69.3	42.818	3.92
313	Palaia Fokaia	40	GR	68	37.72	73.4	7.2
314	Madingou	64	CG	91	-4.17	73.688	0.92
315	Ostrovnoy	32	RU	63	68.05	61.718	6.97
316	Pandan	88	PH	100	11.72	82.148	1.57
317	Caravelas	0	BR	97	-17.73	77.55799999999999	5.52
318	Reyes	75	BO	74	-14.3	86.0	1.87
319	Manokwari	8	ID	100	-0.87	80.708	1.22
320	Gondanglegi	8	ID	91	-7.75	66.218	2.32
321	Micheweni	8	TZ	98	-4.97	79.35799999999999	8.42
322	Teguise	20	ES	73	29.06	71.6	8.2
323	Sydney	90	AU	100	-33.85	50.0	1.22
324	Sadiqabad	8	PK	51	28.31	86.288	4.72
325	Ferme-Neuve	56	CA	49	46.7	69.728	2.87
326	Namibe	0	AO	99	-15.19	69.90799999999999	6.12
327	Kaoma	8	ZM	53	-14.8	59.738	4.57
328	Trairi	0	BR	100	-3.28	80.078	7.82
329	Barra Patuca	68	HN	100	15.8	80.708	3.12
330	Salinopolis	8	BR	96	-0.61	81.248	5.62
331	Katangli	92	RU	94	51.71	47.498000000000005	1.67
332	Altus	1	US	32	34.64	100.4	8.2
333	San Carlos	75	VE	79	9.66	86.0	1.32
334	Rauma	0	FI	76	61.13	53.6	1.5
335	Laurel	20	US	44	45.67	77.0	2.1
336	Touros	36	BR	77	-5.2	79.80799999999999	6.32
337	Jurm	0	AF	73	36.86	36.338	0.52
338	Linhares	24	BR	68	-19.38	74.678	3.47
339	Goderich	48	CA	62	43.74	74.94800000000001	4.82
340	Cockburn Town	0	TC	97	21.46	82.418	7.32
341	Shakiso	92	ET	100	5.77	58.477999999999994	1.22
342	Iralaya	75	HN	79	15.0	86.0	3.6
343	Kolokani	48	ML	85	13.58	79.80799999999999	1.22
344	Morondava	0	MG	88	-20.3	69.548	3.17
345	Dawan	80	CN	89	27.39	61.898	0.47
346	Chabahar	0	IR	73	25.29	92.858	6.27
347	Maturin	80	VE	82	9.75	79.80799999999999	3.07
348	Avera	75	US	55	33.19	91.4	2.6
349	Katete	36	UG	73	-0.78	64.77799999999999	1.97
350	Roald	75	NO	87	62.58	53.6	3.6
351	Clarence Town	40	AU	100	-32.59	44.6	1.07
352	Salalah	75	OM	88	17.01	82.4	3.6
353	Clyde River	90	CA	100	70.47	33.8	5.7
354	Delaware	90	US	94	40.3	82.4	2.1
355	San Vicente	40	SV	62	13.64	87.8	5.1
356	Broome	0	GB	77	52.47	66.2	3.1
357	Abu Zabad	32	SD	74	12.35	74.40799999999999	2.72
358	Tutoia	75	BR	74	-2.76	82.4	3.6
359	Alyangula	0	AU	94	-13.85	75.488	8.77
360	Caririacu	0	BR	31	-7.04	78.548	1.77
361	Chingirlau	0	KZ	47	51.09	75.938	3.22
362	El Real de Santa Maria	48	PA	100	8.11	79.538	1.42
363	Ust-Maya	92	RU	87	60.42	63.157999999999994	1.17
364	Dhidhdhoo	12	MV	100	6.88	79.988	7.22
365	Mecca	0	SA	36	21.43	95.0	1.02
366	Fort Wellington	12	GY	99	6.4	80.888	3.77
367	Redlands	5	US	19	34.06	89.6	3.1
368	Verkhoyansk	44	RU	67	67.55	51.548	3.07
369	Abilene	20	US	28	32.45	96.8	6.7
370	Marawi	44	PH	98	8.0	67.748	0.42
371	Pijijiapan	20	MX	91	15.69	78.638	1.17
372	Khurja	68	IN	97	28.25	74.678	2.07
373	Saurimo	0	AO	51	-9.66	62.077999999999996	1.87
374	Sokolo	64	ML	89	14.74	77.018	2.67
375	Tipitapa	40	NI	70	12.2	84.2	6.2
376	Vao	44	EE	79	59.1	57.488	0.87
377	Uige	8	AO	77	-7.61	63.51800000000001	1.22
378	Winneba	75	GH	88	5.35	78.8	5.7
379	Pangnirtung	90	CA	75	66.15	41.0	6.7
380	Upernavik	48	GL	91	72.79	35.168	1.97
381	Gazalkent	0	UZ	27	41.57	77.0	3.1
382	Ternate	75	PH	100	14.29	77.0	2.1
383	Non Thai	92	TH	100	15.2	75.2	2.07
384	Puerto Madero	0	AR	58	-34.61	60.8	5.1
385	Gainesville	40	US	46	29.65	93.2	3.6
386	Batemans Bay	56	AU	100	-35.71	44.618	1.32
387	Balud	12	PH	100	12.22	73.688	1.37
388	Verkhnyaya Inta	8	RU	88	65.99	57.577999999999996	1.32
389	Padilla	75	CO	54	3.23	84.2	1.0
390	Dan Khun Thot	92	TH	100	15.21	75.2	2.07
391	Kurumkan	0	RU	87	54.33	46.148	0.77
392	Thinadhoo	44	MV	100	0.53	83.498	5.37
393	Aripuana	0	BR	23	-9.17	94.838	1.12
394	College	40	US	43	64.86	69.8	3.6
395	Maniitsoq	88	GL	87	65.42	37.868	5.82
396	Santa Ines	75	EC	59	-0.82	62.6	8.2
397	Kununurra	0	AU	37	-15.77	71.6	4.6
398	Katsuura	20	JP	66	33.93	79.268	3.52
399	Segezha	56	RU	59	63.74	64.508	2.92
400	Parczew	88	PL	97	51.64	56.138	1.22
401	Vostok	48	RU	92	46.45	57.938	1.22
402	Borogontsy	92	RU	98	62.67	61.538	1.72
403	Sarankhola	92	BD	100	22.31	77.288	0.52
404	Gladstone	68	AU	97	-23.84	62.348	6.27
405	Myaundzha	0	RU	77	63.05	58.657999999999994	1.62
406	San Cristobal	75	EC	59	-0.39	60.8	8.2
407	Karratha	0	AU	34	-20.74	46.958000000000006	5.42
408	Iguatu	0	BR	33	-6.36	80.348	1.17
409	Rio Grande	0	BR	45	-32.03	62.6	2.42
410	Kruisfontein	0	ZA	91	-34.0	59.738	5.22
411	Saint Anthony	1	US	31	43.97	78.8	9.8
412	Sumenep	12	ID	100	-7.02	79.718	3.82
413	Auki	76	NG	97	12.18	69.548	1.97
414	Mitikas	75	GR	88	38.67	68.0	1.07
415	Caucaia	40	BR	74	-3.73	80.6	4.1
416	Alice Springs	0	AU	85	-23.7	32.0	2.6
417	Whitehorse	75	CA	50	60.72	51.8	2.12
418	Emerald	92	AU	95	-23.53	60.098	3.82
419	San Quintin	68	PH	94	17.54	71.708	1.17
420	Rio Gallegos	0	AR	87	-51.62	39.2	5.1
421	Thompson	36	CA	67	55.74	71.978	4.77
422	Villa Union	20	BO	46	-10.79	91.4	2.6
423	Terrace	40	CA	44	54.52	60.8	8.7
424	Ustye	0	RU	88	58.76	62.348	1.22
425	Nanning	20	CN	94	22.83	75.2	1.0
426	Los Banos	1	US	24	37.06	93.2	1.5
427	Husavik	24	CA	72	50.56	78.36800000000001	7.32
428	Tessalit	68	ML	17	20.2	93.848	2.97
429	Haikou	0	CN	94	20.04	78.8	2.0
430	Champerico	40	MX	55	16.38	87.8	0.52
431	Half Moon Bay	1	US	43	37.46	84.2	8.7
432	Sobolevo	12	RU	79	54.43	58.477999999999994	2.52
433	Pacific Grove	1	US	63	36.62	75.2	3.6
434	Mantua	20	IT	46	45.16	75.2	1.5
435	Dawlatabad	0	AF	36	36.41	68.918	2.67
436	Dubrovytsya	32	UA	87	51.57	59.01800000000001	1.97
437	Vestmannaeyjar	48	IS	95	63.44	47.588	5.27
438	Kamaishi	100	JP	100	39.28	65.40799999999999	1.32
439	Kharan	0	PK	20	28.58	64.77799999999999	0.67
440	Polyarnyy	0	RU	36	69.2	62.6	2.0
441	Aksu	75	KZ	100	52.04	55.4	3.0
442	Coahuayana	24	MX	40	18.62	89.708	0.52
443	Godfrey	20	US	94	38.96	78.8	5.1
444	Kabalo	100	CD	42	-6.05	81.06800000000001	4.92
445	Lasa	20	CY	78	34.92	73.4	3.1
446	Kropotkin	92	RU	36	45.43	83.498	5.47
447	Piopio	90	CL	93	-42.79	44.6	5.1
448	Griffith	88	AU	92	-34.29	42.007999999999996	1.32
449	Laguna	5	MX	28	27.52	96.8	1.5
450	Seryshevo	92	RU	98	51.09	55.958000000000006	2.12
451	Manta	92	RO	68	45.1	61.898	2.22
452	Mendi	92	ET	99	9.8	60.188	1.27
453	Assiros	75	GR	88	40.82	66.2	2.6
454	Bandarbeyla	12	SO	81	9.49	77.468	13.52
455	Tocopilla	20	CL	99	-22.09	60.007999999999996	2.32
456	Anadyr	40	RU	76	64.73	48.2	8.0
457	Yeppoon	40	AU	93	-23.13	60.8	3.1
458	Mambolo	75	SL	83	8.92	77.0	2.6
459	Impfondo	12	CD	96	1.62	72.06800000000001	1.27
460	Bara	8	NG	74	10.41	79.268	0.72
461	Along	76	IN	96	28.17	69.098	0.67
462	Concepcion del Oro	8	MX	63	24.63	73.418	1.92
463	Mogadishu	80	SO	99	2.04	78.81800000000001	9.47
464	Peniche	20	PT	72	39.36	68.0	3.6
465	Tiebissou	20	CI	88	7.16	77.0	4.02
466	Port Townsend	40	US	59	48.12	64.4	3.1
467	Sayville	75	US	49	40.74	75.2	6.7
468	Shelburne	75	CA	40	44.08	75.2	3.1
469	Fasa	0	IR	14	28.94	89.6	4.1
470	Port Blair	92	IN	100	11.67	79.538	8.92
471	Shakawe	0	BW	42	-18.36	56.76800000000001	4.02
472	Ipixuna	40	BR	78	-1.76	80.6	2.1
473	Santa Marta	20	CO	70	11.24	87.8	4.1
474	Areosa	20	PT	82	41.72	62.6	3.1
475	Goundam	56	ML	75	16.42	77.648	0.62
476	Bayan	0	MN	89	47.25	45.248000000000005	2.52
477	Manggar	80	ID	100	-2.88	75.848	2.62
478	Bambous Virieux	75	MU	60	-20.34	71.6	5.1
479	Phan Thiet	56	VN	100	10.93	75.848	1.77
480	Moose Factory	1	CA	39	51.26	82.4	5.7
481	Fort Frances	40	CA	50	48.61	78.8	4.1
482	Bambanglipuro	32	ID	94	-7.95	67.65799999999999	1.32
483	Hervey Bay	92	AU	85	-25.3	68.288	6.12
484	Ballina	0	IE	41	54.11	77.0	2.1
485	Kamyaran	0	IR	9	34.8	77.0	4.1
486	Terney	92	RU	99	45.05	51.908	2.77
487	Nsanje	0	MZ	87	-16.92	62.798	2.02
488	Pareora	0	NZ	100	-44.49	32.827999999999996	1.52
489	Sorong	80	ID	100	-0.86	77.10799999999999	1.62
490	Livingston	40	US	44	32.58	96.8	3.6
491	Quechultenango	36	MX	73	17.41	73.688	0.72
492	Havelock	90	US	94	34.88	78.8	5.1
493	Scottsbluff	1	US	40	41.87	91.4	2.1
